Physician_ID,Specialty,Years_of_Experience,Region,Previous_Prescriptions,Engagement_Score
P0001,General Practice,5.0,Southeast,43.0,43.0
P0002,General Practice,16.0,Northeast,44.0,87.0
P0003,Oncology,0.0,West,59.0,97.0
P0004,General Practice,16.0,Midwest,53.0,45.0
P0005,General Practice,18.0,Midwest,66.0,38.0
P0006,General Practice,16.0,Midwest,57.0,60.5
P0007,General Practice,19.0,Midwest,38.0,98.0
P0008,General Practice,19.0,Midwest,50.0,47.0
P0009,Hematology,15.0,Midwest,57.0,60.5
P0010,Hematology,19.0,Northeast,45.0,23.0
P0011,General Practice,21.0,Midwest,47.0,74.0
P0012,General Practice,16.0,Southeast,50.0,41.0
P0013,Hematology,19.0,Midwest,49.0,62.0
P0014,General Practice,16.0,West,50.0,29.0
P0015,General Practice,10.0,Southeast,60.0,60.5
P0016,Oncology,10.0,Southeast,39.0,60.5
P0017,Oncology,16.0,West,49.0,64.0
P0018,General Practice,17.0,Southeast,52.0,57.0
P0019,General Practice,9.0,Southeast,47.0,88.0
P0020,Oncology,12.0,Northeast,50.0,88.0
P0021,Hematology,16.0,Southeast,73.0,92.0
P0022,Oncology,16.0,Midwest,50.0,51.0
P0023,Oncology,16.0,West,59.0,21.0
P0024,General Practice,31.0,Southeast,39.0,23.0
P0025,General Practice,21.0,Southeast,53.0,32.0
P0026,General Practice,23.0,Southeast,50.0,26.0
P0027,General Practice,15.0,West,50.0,52.0
P0028,Oncology,11.0,Southeast,56.0,22.0
P0029,General Practice,27.0,West,45.0,60.5
P0030,General Practice,26.0,West,60.0,86.0
P0031,General Practice,16.0,Southeast,53.0,44.0
P0032,General Practice,14.0,Midwest,55.0,43.0
P0033,General Practice,1.0,Southeast,55.0,75.0
P0034,General Practice,0.0,Southeast,57.0,29.0
P0035,General Practice,11.0,West,49.0,75.0
P0036,General Practice,6.0,Midwest,56.0,26.0
P0037,Oncology,16.0,Northeast,50.0,66.0
P0038,General Practice,11.0,Midwest,50.0,46.0
P0039,General Practice,5.0,Northeast,60.0,60.5
P0040,General Practice,37.0,Midwest,47.0,57.0
P0041,General Practice,18.0,Southeast,49.0,60.5
P0042,Hematology,5.0,Midwest,58.0,40.0
P0043,General Practice,33.0,West,50.0,36.0
P0044,Oncology,16.0,West,63.0,88.0
P0045,Oncology,10.0,Northeast,49.0,89.0
P0046,General Practice,21.0,Northeast,48.0,60.5
P0047,General Practice,16.0,Southeast,53.0,68.0
P0048,General Practice,13.0,Northeast,38.0,60.0
P0049,Hematology,13.0,Northeast,39.0,79.0
P0050,Oncology,11.0,Southeast,39.0,60.5
P0051,General Practice,23.0,Midwest,50.0,78.0
P0052,General Practice,22.0,Southeast,52.0,64.0
P0053,General Practice,16.0,Southeast,50.0,88.0
P0054,General Practice,14.0,West,43.0,95.0
P0055,General Practice,11.0,Northeast,38.0,57.0
P0056,Oncology,5.0,Southeast,50.0,62.0
P0057,Hematology,33.0,West,46.0,52.0
P0058,General Practice,20.0,Northeast,42.0,86.0
P0059,General Practice,2.0,Midwest,54.0,37.0
P0060,Oncology,33.0,Midwest,50.0,61.0
P0061,Oncology,9.0,West,50.0,65.0
P0062,General Practice,16.0,West,45.0,25.0
P0063,General Practice,16.0,West,48.0,31.0
P0064,General Practice,25.0,Midwest,50.0,48.0
P0065,General Practice,12.0,Southeast,66.0,91.0
P0066,Oncology,15.0,Northeast,59.0,99.0
P0067,Hematology,0.0,West,49.0,60.5
P0068,Hematology,19.0,Midwest,47.0,98.0
P0069,Hematology,42.0,Midwest,49.0,60.5
P0070,General Practice,19.0,Southeast,46.0,87.0
P0071,General Practice,35.0,Midwest,46.0,79.0
P0072,General Practice,47.0,Southeast,44.0,60.5
P0073,General Practice,36.0,Northeast,50.0,80.0
P0074,General Practice,16.0,West,49.0,60.5
P0075,General Practice,10.0,Midwest,58.0,63.0
P0076,General Practice,15.0,Southeast,51.0,25.0
P0077,General Practice,8.0,Southeast,49.0,60.5
P0078,General Practice,6.0,Midwest,50.0,46.0
P0079,General Practice,24.0,West,59.0,90.0
P0080,General Practice,26.0,West,48.0,31.0
P0081,Hematology,37.0,Midwest,51.0,60.5
P0082,Oncology,11.0,West,55.0,71.0
P0083,Oncology,16.0,Midwest,56.0,92.0
P0084,General Practice,13.0,Southeast,58.0,47.0
P0085,Oncology,20.0,West,64.0,28.0
P0086,General Practice,16.0,Southeast,50.0,23.0
P0087,General Practice,18.0,Midwest,53.0,97.0
P0088,General Practice,16.0,West,57.0,67.0
P0089,Hematology,17.0,Midwest,44.0,60.5
P0090,General Practice,16.0,West,50.0,95.0
P0091,General Practice,12.0,Midwest,50.0,45.0
P0092,Hematology,1.0,Midwest,54.0,40.0
P0093,General Practice,13.0,West,55.0,89.0
P0094,Hematology,27.0,Southeast,46.0,83.0
P0095,Oncology,0.0,Midwest,43.0,60.5
P0096,Oncology,16.0,West,50.0,60.5
P0097,Oncology,31.0,West,45.0,84.0
P0098,General Practice,18.0,Midwest,56.0,98.0
P0099,Hematology,0.0,Southeast,57.0,60.5
P0100,General Practice,16.0,West,62.0,39.0
P0101,General Practice,16.0,Northeast,58.0,85.0
P0102,Hematology,28.0,West,50.0,80.0
P0103,Oncology,8.0,Midwest,56.0,34.0
P0104,Hematology,35.0,Midwest,54.0,64.0
P0105,General Practice,15.0,Northeast,51.0,29.0
