Physician_ID,Specialty,Years_of_Experience,Region,Previous_Prescriptions,Engagement_Score
P0001,GP,5.0,Southeast,43.0,43.0
P0002,General_Practice,16.0,Northeast,44.0,87.0
P0003,Oncology,0.0,West,59.0,97.0
P0004,General_Practice,,Midwest,53.0,45.0
P0005,General_Practice,18.0,Midwest,66.0,38.0
P0006,General Practice,16.0,Midwest,57.0,
P0007,GP,19.0,Midwest,38.0,98.0
P0008,GP,19.0,Midwest,,47.0
P0009,Hematology,15.0,Midwest,57.0,
P0010,Hematology,19.0,Northeast,45.0,23.0
P0011,GP,21.0,Midwest,47.0,74.0
P0012,General_Practice,,Southeast,,41.0
P0013,Hematology,19.0,Midwest,49.0,62.0
P0014,General Practice,,West,,29.0
P0015,General_Practice,10.0,Southeast,60.0,
P0016,Oncology,10.0,Southeast,39.0,
P0017,Oncology,,West,49.0,64.0
P0018,General_Practice,17.0,Southeast,52.0,57.0
P0019,GP,9.0,Southeast,47.0,88.0
P0020,Oncology,12.0,Northeast,,88.0
P0021,Hematology,,Southeast,73.0,92.0
P0022,Oncology,16.0,Midwest,50.0,51.0
P0023,Oncology,16.0,West,59.0,21.0
P0024,General_Practice,31.0,Southeast,39.0,23.0
P0025,General Practice,21.0,Southeast,53.0,32.0
P0026,General Practice,23.0,Southeast,,26.0
P0027,General Practice,15.0,West,50.0,52.0
P0028,Oncology,11.0,Southeast,56.0,22.0
P0029,General_Practice,27.0,West,45.0,
P0030,GP,26.0,West,60.0,86.0
P0031,GP,16.0,Southeast,53.0,44.0
P0032,General_Practice,14.0,Midwest,55.0,43.0
P0033,GP,1.0,Southeast,55.0,75.0
P0034,General_Practice,0.0,Southeast,57.0,29.0
P0035,General Practice,11.0,West,49.0,75.0
P0036,General_Practice,6.0,Midwest,56.0,26.0
P0037,Oncology,150.0,Northeast,,66.0
P0038,General_Practice,11.0,Midwest,,46.0
P0039,General Practice,5.0,Northeast,60.0,
P0040,General_Practice,37.0,Midwest,47.0,57.0
P0041,General_Practice,18.0,Southeast,49.0,
P0042,Hematology,5.0,Midwest,58.0,40.0
P0043,General Practice,33.0,West,,36.0
P0044,Oncology,100.0,West,63.0,88.0
P0045,Oncology,10.0,Northeast,49.0,89.0
P0046,GP,21.0,Northeast,48.0,
P0047,GP,150.0,Southeast,53.0,68.0
P0048,General_Practice,13.0,Northeast,38.0,60.0
P0049,Hematology,13.0,Northeast,39.0,79.0
P0050,Oncology,11.0,Southeast,39.0,
P0051,General Practice,23.0,Midwest,,78.0
P0052,GP,22.0,Southeast,52.0,64.0
P0053,GP,16.0,Southeast,50.0,88.0
P0054,GP,14.0,West,43.0,95.0
P0055,GP,11.0,Northeast,38.0,57.0
P0056,Oncology,5.0,Southeast,50.0,62.0
P0057,Hematology,33.0,West,46.0,52.0
P0058,GP,20.0,Northeast,42.0,86.0
P0059,General Practice,2.0,Midwest,54.0,37.0
P0060,Oncology,33.0,Midwest,,61.0
P0061,Oncology,9.0,West,,65.0
P0062,GP,16.0,West,45.0,25.0
P0063,GP,,West,48.0,31.0
P0064,General Practice,25.0,Midwest,50.0,48.0
P0065,General Practice,12.0,Southeast,66.0,91.0
